URL,Meta Title,Title Length,Meta Description,Desc Length,H1,Word Count,Issues
https://www.prourlmonitor.com/,"ProURLMonitor - Free SEO Tools, Domain Authority Checker & URL Analysis",71,"ProURLMonitor offers 17+ free SEO tools including Domain Authority Checker, Broken Links Checker, HTTP Status Checker, Meta Tag Generator, and more. Analyze domains, check backlinks, and optimize your website for better search rankings.",236,Complete Domain & URL Intelligence Tools,1092,⚠️ Title too long (71 chars) | ⚠️ Description too long (236 chars)
https://www.prourlmonitor.com/login,MISSING,0,MISSING,0,MISSING,26,"❌ No meta title | ❌ No meta description | ❌ No H1 tag | ⚠️ Low word count (26 words, need 1000+)"
https://www.prourlmonitor.com/signup,MISSING,0,MISSING,0,MISSING,27,"❌ No meta title | ❌ No meta description | ❌ No H1 tag | ⚠️ Low word count (27 words, need 1000+)"
https://www.prourlmonitor.com/app/dashboard,MISSING,0,MISSING,0,MISSING,1,"❌ No meta title | ❌ No meta description | ❌ No H1 tag | ⚠️ Low word count (1 words, need 1000+)"
https://www.prourlmonitor.com/blog,"SEO Blog - Tips, Guides & Best Practices | ProURLMonitor",56,"Learn SEO tips, website optimization techniques, and digital marketing strategies. Free guides on HTTP status codes, broken links, and technical SEO.",149,SEO Blog & Guides,163,"⚠️ Low word count (163 words, need 1000+)"
https://www.prourlmonitor.com/tools/seo-audit,SEO Audit Tool - Complete Website SEO Analysis | ProURLMonitor,62,"Free SEO audit tool powered by Google PageSpeed Insights. Analyze 18+ SEO factors including Core Web Vitals, mobile-friendliness, and meta tags.",144,SEO Audit Tool,945,"⚠️ Title too long (62 chars) | ⚠️ Low word count (945 words, need 1000+)"
https://www.prourlmonitor.com/tools/meta-generator,Meta Tag Generator - Create SEO Title Tags & Meta Descriptions | ProURLMonitor,78,"Free meta tag generator tool. Create optimized title tags, meta descriptions, Open Graph tags, and Twitter Cards with character counter for perfect SEO.",152,Meta Tag Generator,1979,⚠️ Title too long (78 chars)
https://www.prourlmonitor.com/tools/schema-generator,Schema Markup Generator (JSON-LD) - Create Structured Data for Rich Snippets | ProURLMonitor,92,"Free schema markup generator. Create JSON-LD structured data for Article, Product, FAQ, Organization, and LocalBusiness to get rich snippets in Google.",151,Schema Markup Generator (JSON-LD),1720,⚠️ Title too long (92 chars)
https://www.prourlmonitor.com/tools/faq-schema-generator,FAQ Schema Generator - Create FAQPage Structured Data | ProURLMonitor,69,Generate FAQ schema markup for rich snippets in Google search. Create JSON-LD and Microdata FAQPage structured data instantly for better SEO visibility.,152,FAQ Schema Generator,1332,⚠️ Title too long (69 chars)
https://www.prourlmonitor.com/tools/keyword-density-checker,Keyword Density Checker - Analyze Content Keywords for SEO | ProURLMonitor,74,"Free keyword density checker tool. Analyze keyword frequency, find over-optimization, and improve your content's SEO with detailed keyword analysis.",148,Keyword Density Checker,1311,⚠️ Title too long (74 chars)
https://www.prourlmonitor.com/tools/heading-analyzer,Heading Tag Analyzer (H1-H6) - Check SEO Heading Structure | ProURLMonitor,74,"Free heading tag analyzer tool. Check your H1-H6 heading structure, find SEO issues, and optimize your content hierarchy for better rankings.",141,Heading Tag Analyzer (H1-H6),1390,⚠️ Title too long (74 chars)
https://www.prourlmonitor.com/tools/robots-txt-generator,Robots.txt Generator - Create SEO-Friendly Robots File | ProURLMonitor,70,"Free robots.txt generator tool. Create custom robots.txt files for your website with sitemap, disallow rules, and crawl delay settings.",135,Robots.txt Generator,555,"⚠️ Title too long (70 chars) | ⚠️ Low word count (555 words, need 1000+)"
https://www.prourlmonitor.com/tools/xml-html-sitemap-generator,MISSING,0,MISSING,0,XML & HTML Sitemap Generator,2396,❌ No meta title | ❌ No meta description
https://www.prourlmonitor.com/tools/meta-description-generator,Meta Description Generator - AI-Powered SEO Tool | ProURLMonitor,64,"Generate SEO-optimized meta descriptions instantly with our AI-powered tool. Get 5 unique descriptions optimized for 155 characters, keyword-rich, and click-worthy.",164,Meta Description Generator,1236,⚠️ Title too long (64 chars) | ⚠️ Description too long (164 chars)
https://www.prourlmonitor.com/tools/seo-title-generator,SEO Title Tag Generator - Create Click-Worthy Titles | ProURLMonitor,68,"Generate SEO-optimized title tags that rank and get clicks. Get 7 unique title variations with power words, optimal length (50-60 chars), and high CTR potential.",161,SEO Title Tag Generator,1308,⚠️ Title too long (68 chars) | ⚠️ Description too long (161 chars)
https://www.prourlmonitor.com/tools/alt-text-generator,Bulk Alt Text Generator - Upload Images & Generate Alt Text | ProURLMonitor,75,"Generate alt text for single or bulk images. Upload images or enter URLs to create SEO-optimized, accessible alt text instantly. Bulk image alt text generator.",159,Bulk Alt Text Generator,1764,⚠️ Title too long (75 chars)
https://www.prourlmonitor.com/tools/semantic-keyword-finder,Semantic Keyword Finder - LSI Keywords & Related Terms | ProURLMonitor,70,"Find semantic keywords, LSI terms, related keywords, and question-based keywords. Analyze search intent and discover topical clusters for better SEO.",149,Semantic Keyword Finder,1140,⚠️ Title too long (70 chars)
https://www.prourlmonitor.com/tools/internal-linking-assistant,Internal Linking Assistant - Smart Link Suggestions | ProURLMonitor,67,"Optimize internal linking strategy with AI-powered suggestions. Find link opportunities, analyze anchor text, check link density, and improve site structure.",157,Internal Linking Assistant,1136,⚠️ Title too long (67 chars)
https://www.prourlmonitor.com/tools/content-readability-optimizer,Content Readability Optimizer - Flesch Score & SEO Analysis | ProURLMonitor,75,"Analyze and optimize content readability with Flesch Reading Ease score, grade level, passive voice detection, and actionable suggestions for better SEO.",153,Content Readability Optimizer,1208,⚠️ Title too long (75 chars)
https://www.prourlmonitor.com/tools/google-index-checker,Google Index Checker - Check URL Indexing Status | ProURLMonitor,64,"Free Google index checker tool. Check if your URLs are indexed by Google. Verify up to 1,000 webpages at once. Improve SEO and search visibility.",145,Google Index Checker,2377,⚠️ Title too long (64 chars)
https://www.prourlmonitor.com/tools/http-status-checker,"HTTP Status Checker - Check 200, 301, 404, 500 Status Codes | ProURLMonitor",75,"Free HTTP status checker tool. Check multiple URLs for 200, 301, 302, 404, 500 status codes and redirects in bulk.",114,HTTP Status Checker,1156,⚠️ Title too long (75 chars) | ⚠️ Description too short (114 chars)
https://www.prourlmonitor.com/tools/broken-links-checker,Broken Links Checker - Find 404 Errors | ProURLMonitor,54,"Free broken links checker tool. Scan your website for 404 errors, dead links, and broken URLs. Improve SEO and user experience.",127,Broken Links Checker,1414,OK
